index,utt_id,wav_path,pred_path,ref_path,full_path,context_path,stoi,pesq,dnsmos_sig,dnsmos_bak,dnsmos_ovrl,status,error
0,440c0201,E:/Working/deep-learning/datasets/wsjcam0_wavs/si_et_05/440/440c0201.wav,generated\copy_baseline\pred\0000_440c0201_copy_pred_future_2_3s.wav,generated\copy_baseline\ref\0000_440c0201_reference_future_2_3s.wav,generated\copy_baseline\full\0000_440c0201_copy_combined_context_pred_0_3s.wav,generated\copy_baseline\context\0000_440c0201_context_0_2s.wav,0.2436895788822117,1.0253643989562988,nan,nan,nan,OK,
1,440c0202,E:/Working/deep-learning/datasets/wsjcam0_wavs/si_et_05/440/440c0202.wav,generated\copy_baseline\pred\0001_440c0202_copy_pred_future_2_3s.wav,generated\copy_baseline\ref\0001_440c0202_reference_future_2_3s.wav,generated\copy_baseline\full\0001_440c0202_copy_combined_context_pred_0_3s.wav,generated\copy_baseline\context\0001_440c0202_context_0_2s.wav,0.2692399668464149,1.0398335456848145,nan,nan,nan,OK,
2,440c0203,E:/Working/deep-learning/datasets/wsjcam0_wavs/si_et_05/440/440c0203.wav,generated\copy_baseline\pred\0002_440c0203_copy_pred_future_2_3s.wav,generated\copy_baseline\ref\0002_440c0203_reference_future_2_3s.wav,generated\copy_baseline\full\0002_440c0203_copy_combined_context_pred_0_3s.wav,generated\copy_baseline\context\0002_440c0203_context_0_2s.wav,-0.14639175997422046,1.0397483110427856,nan,nan,nan,OK,
3,440c0204,E:/Working/deep-learning/datasets/wsjcam0_wavs/si_et_05/440/440c0204.wav,generated\copy_baseline\pred\0003_440c0204_copy_pred_future_2_3s.wav,generated\copy_baseline\ref\0003_440c0204_reference_future_2_3s.wav,generated\copy_baseline\full\0003_440c0204_copy_combined_context_pred_0_3s.wav,generated\copy_baseline\context\0003_440c0204_context_0_2s.wav,0.04583116797917313,1.1057696342468262,nan,nan,nan,OK,
4,440c0205,E:/Working/deep-learning/datasets/wsjcam0_wavs/si_et_05/440/440c0205.wav,generated\copy_baseline\pred\0004_440c0205_copy_pred_future_2_3s.wav,generated\copy_baseline\ref\0004_440c0205_reference_future_2_3s.wav,generated\copy_baseline\full\0004_440c0205_copy_combined_context_pred_0_3s.wav,generated\copy_baseline\context\0004_440c0205_context_0_2s.wav,0.07750926450909504,1.029175877571106,nan,nan,nan,OK,
5,440c0206,E:/Working/deep-learning/datasets/wsjcam0_wavs/si_et_05/440/440c0206.wav,generated\copy_baseline\pred\0005_440c0206_copy_pred_future_2_3s.wav,generated\copy_baseline\ref\0005_440c0206_reference_future_2_3s.wav,generated\copy_baseline\full\0005_440c0206_copy_combined_context_pred_0_3s.wav,generated\copy_baseline\context\0005_440c0206_context_0_2s.wav,-0.011187451919530831,1.042881965637207,nan,nan,nan,OK,
6,440c0207,E:/Working/deep-learning/datasets/wsjcam0_wavs/si_et_05/440/440c0207.wav,generated\copy_baseline\pred\0006_440c0207_copy_pred_future_2_3s.wav,generated\copy_baseline\ref\0006_440c0207_reference_future_2_3s.wav,generated\copy_baseline\full\0006_440c0207_copy_combined_context_pred_0_3s.wav,generated\copy_baseline\context\0006_440c0207_context_0_2s.wav,0.02360087970550095,1.0326359272003174,nan,nan,nan,OK,
7,440c0208,E:/Working/deep-learning/datasets/wsjcam0_wavs/si_et_05/440/440c0208.wav,generated\copy_baseline\pred\0007_440c0208_copy_pred_future_2_3s.wav,generated\copy_baseline\ref\0007_440c0208_reference_future_2_3s.wav,generated\copy_baseline\full\0007_440c0208_copy_combined_context_pred_0_3s.wav,generated\copy_baseline\context\0007_440c0208_context_0_2s.wav,0.09836045377643304,1.1103581190109253,nan,nan,nan,OK,
8,440c0209,E:/Working/deep-learning/datasets/wsjcam0_wavs/si_et_05/440/440c0209.wav,generated\copy_baseline\pred\0008_440c0209_copy_pred_future_2_3s.wav,generated\copy_baseline\ref\0008_440c0209_reference_future_2_3s.wav,generated\copy_baseline\full\0008_440c0209_copy_combined_context_pred_0_3s.wav,generated\copy_baseline\context\0008_440c0209_context_0_2s.wav,0.29061752245126854,1.0561803579330444,nan,nan,nan,OK,
9,440c020a,E:/Working/deep-learning/datasets/wsjcam0_wavs/si_et_05/440/440c020a.wav,generated\copy_baseline\pred\0009_440c020a_copy_pred_future_2_3s.wav,generated\copy_baseline\ref\0009_440c020a_reference_future_2_3s.wav,generated\copy_baseline\full\0009_440c020a_copy_combined_context_pred_0_3s.wav,generated\copy_baseline\context\0009_440c020a_context_0_2s.wav,0.11423085548271121,1.1553916931152344,nan,nan,nan,OK,
10,440c020b,E:/Working/deep-learning/datasets/wsjcam0_wavs/si_et_05/440/440c020b.wav,generated\copy_baseline\pred\0010_440c020b_copy_pred_future_2_3s.wav,generated\copy_baseline\ref\0010_440c020b_reference_future_2_3s.wav,generated\copy_baseline\full\0010_440c020b_copy_combined_context_pred_0_3s.wav,generated\copy_baseline\context\0010_440c020b_context_0_2s.wav,-0.04055086148395144,1.0804802179336548,nan,nan,nan,OK,
11,440c020c,E:/Working/deep-learning/datasets/wsjcam0_wavs/si_et_05/440/440c020c.wav,generated\copy_baseline\pred\0011_440c020c_copy_pred_future_2_3s.wav,generated\copy_baseline\ref\0011_440c020c_reference_future_2_3s.wav,generated\copy_baseline\full\0011_440c020c_copy_combined_context_pred_0_3s.wav,generated\copy_baseline\context\0011_440c020c_context_0_2s.wav,0.07903219531014533,1.0337097644805908,nan,nan,nan,OK,
