index,input_path,output_path,status,sample_rate,input_shape,output_shape,vq_id_shape,num_codebooks,num_frames,orig_length,padded_length,pad_right,elapsed_sec,num_samples,duration_sec,mse,mae,rmse,snr_db,si_sdr_db,ref_rms,est_rms,ref_peak,est_peak
0,/kaggle/working/wsjcam0_subset/wavs/0000_440c0201.wav,/kaggle/working/speech_prediction_project/outputs/facodec_oracle_small16_recons/0000_0000_440c0201_facodec_recon.wav,ok,16000,"[1, 1, 91600]","[1, 1, 91600]","[6, 1, 458]",6,458,91600,91600,0,0.29567575454711914,91600,5.725,7.447535608662292e-05,0.0054789758287370205,0.008629910549166946,2.3226717261860004,-0.4962117597460747,0.011275919307342732,0.010439520437272573,0.117645263671875,0.11507420986890793
1,/kaggle/working/wsjcam0_subset/wavs/0001_440c0202.wav,/kaggle/working/speech_prediction_project/outputs/facodec_oracle_small16_recons/0001_0001_440c0202_facodec_recon.wav,ok,16000,"[1, 1, 195351]","[1, 1, 195351]","[6, 1, 977]",6,977,195351,195400,49,0.46941423416137695,195351,12.2094375,9.873758972389624e-05,0.006424360442906618,0.009936679008798474,2.3171647057288642,-0.5360940843820572,0.012975036567896963,0.011948882672492283,0.15081787109375,0.1363997757434845
2,/kaggle/working/wsjcam0_subset/wavs/0002_440c0203.wav,/kaggle/working/speech_prediction_project/outputs/facodec_oracle_small16_recons/0002_0002_440c0203_facodec_recon.wav,ok,16000,"[1, 1, 73728]","[1, 1, 73728]","[6, 1, 369]",6,369,73728,73800,72,0.18528056144714355,73728,4.608,6.499954906757921e-05,0.005059173796325922,0.008062229782608482,2.1743068396822034,-1.2476146966218948,0.010355800456665218,0.008710824302492828,0.1405029296875,0.12483017146587372
3,/kaggle/working/wsjcam0_subset/wavs/0003_440c0204.wav,/kaggle/working/speech_prediction_project/outputs/facodec_oracle_small16_recons/0003_0003_440c0204_facodec_recon.wav,ok,16000,"[1, 1, 184518]","[1, 1, 184518]","[6, 1, 923]",6,923,184518,184600,82,0.44495153427124023,184518,11.532375,0.00011135428212583065,0.006796334870159626,0.010552453843814273,1.8109177808071548,-1.4842469990253448,0.01299888197323959,0.011923108363228966,0.11505126953125,0.10442014783620834
4,/kaggle/working/wsjcam0_subset/wavs/0004_440c0205.wav,/kaggle/working/speech_prediction_project/outputs/facodec_oracle_small16_recons/0004_0004_440c0205_facodec_recon.wav,ok,16000,"[1, 1, 71255]","[1, 1, 71255]","[6, 1, 357]",6,357,71255,71400,145,0.17447137832641602,71255,4.4534375,5.793852324131876e-05,0.00497065344825387,0.00761173588883106,2.5740344914440794,0.03786969929933548,0.010237695212446789,0.009655189111913827,0.117706298828125,0.11387034505605698
5,/kaggle/working/wsjcam0_subset/wavs/0005_440c0206.wav,/kaggle/working/speech_prediction_project/outputs/facodec_oracle_small16_recons/0005_0005_440c0206_facodec_recon.wav,ok,16000,"[1, 1, 82074]","[1, 1, 82074]","[6, 1, 411]",6,411,82074,82200,126,0.20894217491149902,82074,5.129625,7.548786379629746e-05,0.004079738631844521,0.008688375210377224,3.824325588032826,2.1105875074863434,0.013494962714348673,0.013094556711666344,0.2425537109375,0.19691897928714752
6,/kaggle/working/wsjcam0_subset/wavs/0006_440c0207.wav,/kaggle/working/speech_prediction_project/outputs/facodec_oracle_small16_recons/0006_0006_440c0207_facodec_recon.wav,ok,16000,"[1, 1, 143881]","[1, 1, 143881]","[6, 1, 720]",6,720,143881,144000,119,0.34864282608032227,143881,8.9925625,8.66403934196569e-05,0.005999171175062656,0.009308082155828713,2.084203045329516,-1.1125405877828598,0.011832592669722935,0.010593755363328397,0.139862060546875,0.13383203744888306
7,/kaggle/working/wsjcam0_subset/wavs/0007_440c0208.wav,/kaggle/working/speech_prediction_project/outputs/facodec_oracle_small16_recons/0007_0007_440c0208_facodec_recon.wav,ok,16000,"[1, 1, 74776]","[1, 1, 74776]","[6, 1, 374]",6,374,74776,74800,24,0.2118380069732666,74776,4.6735,9.179359767585993e-05,0.003948580008000135,0.009580897540202584,1.7863486395520485,-0.7920213043689728,0.01176878439485202,0.011964647050243162,0.18878173828125,0.19757457077503204
8,/kaggle/working/wsjcam0_subset/wavs/0008_440c0209.wav,/kaggle/working/speech_prediction_project/outputs/facodec_oracle_small16_recons/0008_0008_440c0209_facodec_recon.wav,ok,16000,"[1, 1, 75386]","[1, 1, 75386]","[6, 1, 377]",6,377,75386,75400,14,0.1909313201904297,75386,4.711625,0.0001825969957280904,0.006285619921982288,0.013512845582189209,2.3951794781824027,-0.05656678695231676,0.017803723045036104,0.017352089723325533,0.231536865234375,0.20807217061519623
9,/kaggle/working/wsjcam0_subset/wavs/0009_440c020a.wav,/kaggle/working/speech_prediction_project/outputs/facodec_oracle_small16_recons/0009_0009_440c020a_facodec_recon.wav,ok,16000,"[1, 1, 138583]","[1, 1, 138583]","[6, 1, 693]",6,693,138583,138600,17,0.3407571315765381,138583,8.6614375,0.00016395264538004994,0.006848448887467384,0.012804399454095844,4.151084169612348,2.7460846304893494,0.020650072231022387,0.020685513836019218,0.225372314453125,0.2043401449918747
