index,input_path,output_path,status,sample_rate,input_shape,output_shape,method,encoded_type,encoded_shape,scale_shapes,num_chunks,num_codebooks,num_frames,orig_length,padded_length,pad_right,elapsed_sec,num_samples,duration_sec,mse,mae,rmse,snr_db,si_sdr_db,ref_rms,est_rms,ref_peak,est_peak
0,/kaggle/working/wsjcam0_subset/wavs/0000_440c0201.wav,/kaggle/working/speech_prediction_project/outputs/encodec_oracle_small16_recons/0000_0000_440c0201_encodec_recon.wav,ok,24000,"[1, 1, 137400]","[1, 1, 137400]",model.encode_model.decode_native,<class 'list'>,"[[1, 8, 430]]",[null],1,8,430,137400,137400,0,0.0980997085571289,137400,5.725,5.7833356549963355e-05,0.004347796086221933,0.007604824557474245,3.404632428618516,1.8642444908618927,0.011254889218199962,0.01156727555780946,0.12041111290454865,0.12296789884567261
1,/kaggle/working/wsjcam0_subset/wavs/0001_440c0202.wav,/kaggle/working/speech_prediction_project/outputs/encodec_oracle_small16_recons/0001_0001_440c0202_encodec_recon.wav,ok,24000,"[1, 1, 293027]","[1, 1, 293027]",model.encode_model.decode_native,<class 'list'>,"[[1, 8, 916]]",[null],1,8,916,293027,293027,0,0.1671276092529297,293027,12.209458333333334,7.083237142069265e-05,0.005028932821005583,0.008416196968981457,3.7371284809391336,2.26654514670372,0.0129416605964327,0.013160887492329177,0.15069526433944702,0.17465607821941376
2,/kaggle/working/wsjcam0_subset/wavs/0002_440c0203.wav,/kaggle/working/speech_prediction_project/outputs/encodec_oracle_small16_recons/0002_0002_440c0203_encodec_recon.wav,ok,24000,"[1, 1, 110592]","[1, 1, 110592]",model.encode_model.decode_native,<class 'list'>,"[[1, 8, 346]]",[null],1,8,346,110592,110592,0,0.07362771034240723,110592,4.608,3.929065496777184e-05,0.0036710500717163086,0.006268225822971907,4.354428600320184,2.9567918181419373,0.01034906351873666,0.010247868841513174,0.14051255583763123,0.12654079496860504
3,/kaggle/working/wsjcam0_subset/wavs/0003_440c0204.wav,/kaggle/working/speech_prediction_project/outputs/encodec_oracle_small16_recons/0003_0003_440c0204_encodec_recon.wav,ok,24000,"[1, 1, 276777]","[1, 1, 276777]",model.encode_model.decode_native,<class 'list'>,"[[1, 8, 865]]",[null],1,8,865,276777,276777,0,0.14292335510253906,276777,11.532375,5.589838474406861e-05,0.0045689973048865795,0.007476522235910799,4.797502638723183,3.6727380752563477,0.01298974833139611,0.01315024198718149,0.11503233760595322,0.12366510182619095
4,/kaggle/working/wsjcam0_subset/wavs/0004_440c0205.wav,/kaggle/working/speech_prediction_project/outputs/encodec_oracle_small16_recons/0004_0004_440c0205_encodec_recon.wav,ok,24000,"[1, 1, 106883]","[1, 1, 106883]",model.encode_model.decode_native,<class 'list'>,"[[1, 8, 335]]",[null],1,8,335,106883,106883,0,0.06962203979492188,106883,4.453458333333334,3.889410072588362e-05,0.0035713317338377237,0.006236513507231714,4.298448998885259,3.010013699531555,0.010230559758183636,0.010354213519032929,0.11670936644077301,0.1335681825876236
5,/kaggle/working/wsjcam0_subset/wavs/0005_440c0206.wav,/kaggle/working/speech_prediction_project/outputs/encodec_oracle_small16_recons/0005_0005_440c0206_encodec_recon.wav,ok,24000,"[1, 1, 123111]","[1, 1, 123111]",model.encode_model.decode_native,<class 'list'>,"[[1, 8, 385]]",[null],1,8,385,123111,123111,0,0.0744028091430664,123111,5.129625,8.942760905483738e-05,0.00442206347361207,0.009456617209913774,3.082221893681109,1.664864420890808,0.01348525756146473,0.0143639876737103,0.23983778059482574,0.23044010996818542
6,/kaggle/working/wsjcam0_subset/wavs/0006_440c0207.wav,/kaggle/working/speech_prediction_project/outputs/encodec_oracle_small16_recons/0006_0006_440c0207_encodec_recon.wav,ok,24000,"[1, 1, 215822]","[1, 1, 215822]",model.encode_model.decode_native,<class 'list'>,"[[1, 8, 675]]",[null],1,8,675,215822,215822,0,0.1154487133026123,215822,8.992583333333334,6.199954077601433e-05,0.004694320727139711,0.007873978713205563,3.5195679322411633,1.8575327098369598,0.011808427930912128,0.011826783436262329,0.13824458420276642,0.15541735291481018
7,/kaggle/working/wsjcam0_subset/wavs/0007_440c0208.wav,/kaggle/working/speech_prediction_project/outputs/encodec_oracle_small16_recons/0007_0007_440c0208_encodec_recon.wav,ok,24000,"[1, 1, 112164]","[1, 1, 112164]",model.encode_model.decode_native,<class 'list'>,"[[1, 8, 351]]",[null],1,8,351,112164,112164,0,0.07284188270568848,112164,4.6735,8.509831968694925e-05,0.0038471552543342113,0.00922487504993695,2.107588328047764,-0.207589752972126,0.01175844036861323,0.011998005263055264,0.1897827386856079,0.17061570286750793
8,/kaggle/working/wsjcam0_subset/wavs/0008_440c0209.wav,/kaggle/working/speech_prediction_project/outputs/encodec_oracle_small16_recons/0008_0008_440c0209_encodec_recon.wav,ok,24000,"[1, 1, 113079]","[1, 1, 113079]",model.encode_model.decode_native,<class 'list'>,"[[1, 8, 354]]",[null],1,8,354,113079,113079,0,0.07319450378417969,113079,4.711625,0.00017467349243815988,0.0058979070745408535,0.013216409967845273,2.5772036546375983,0.31687527894973755,0.017781944448319407,0.017527377063949898,0.23332399129867554,0.21639977395534515
9,/kaggle/working/wsjcam0_subset/wavs/0009_440c020a.wav,/kaggle/working/speech_prediction_project/outputs/encodec_oracle_small16_recons/0009_0009_440c020a_encodec_recon.wav,ok,24000,"[1, 1, 207875]","[1, 1, 207875]",model.encode_model.decode_native,<class 'list'>,"[[1, 8, 650]]",[null],1,8,650,207875,207875,0,0.11432290077209473,207875,8.661458333333334,0.0001777988945832476,0.0070594241842627525,0.013334125190024564,3.7940229303186515,2.4964796006679535,0.02063824624775248,0.02144965706858627,0.22532211244106293,0.29686421155929565
